org.jfree.chart.renderer.AbstractRenderer  ,  notifyListeners  ,  [class org.jfree.chart.event.RendererChangeEvent]  ,7
org.jfree.chart.renderer.xy.AbstractXYItemRenderer  ,  setURLGenerator  ,  [interface org.jfree.chart.urls.XYURLGenerator]  ,5
org.jfree.chart.renderer.AbstractRenderer  ,  fireChangeEvent  ,  []  ,6
org.jfree.chart.renderer.AbstractRenderer  ,  notifyListeners  ,  [class org.jfree.chart.event.RendererChangeEvent]  ,7
org.jfree.data.general.AbstractDataset  ,  addChangeListener  ,  [interface org.jfree.data.general.DatasetChangeListener]  ,5
org.jfree.chart.plot.XYPlot  ,  mapDatasetToDomainAxis  ,  [int- int]  ,5
org.jfree.chart.plot.XYPlot  ,  mapDatasetToDomainAxes  ,  [int- interface java.util.List]  ,6
org.jfree.chart.util.Args  ,  requireNonNegative  ,  [int- class java.lang.String]  ,7
org.jfree.chart.plot.XYPlot  ,  checkAxisIndices  ,  [interface java.util.List]  ,7
org.jfree.chart.plot.XYPlot  ,  getDataset  ,  [int]  ,7
org.jfree.chart.plot.XYPlot  ,  datasetChanged  ,  [class org.jfree.data.general.DatasetChangeEvent]  ,7
org.jfree.chart.plot.XYPlot  ,  configureDomainAxes  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  configure  ,  []  ,9
org.jfree.chart.axis.ValueAxis  ,  isAutoRange  ,  []  ,10
org.jfree.chart.axis.NumberAxis  ,  autoAdjustRange  ,  []  ,10
org.jfree.chart.axis.Axis  ,  getPlot  ,  []  ,11
org.jfree.chart.plot.XYPlot  ,  configureRangeAxes  ,  []  ,8
org.jfree.chart.plot.Plot  ,  getParent  ,  []  ,8
org.jfree.chart.event.ChartChangeEvent  ,  setType  ,  [class org.jfree.chart.event.ChartChangeEventType]  ,8
org.jfree.chart.plot.Plot  ,  notifyListeners  ,  [class org.jfree.chart.event.PlotChangeEvent]  ,8
org.jfree.chart.axis.Axis  ,  setPlot  ,  [class org.jfree.chart.plot.Plot]  ,5
org.jfree.chart.axis.NumberAxis  ,  configure  ,  []  ,6
org.jfree.chart.axis.ValueAxis  ,  isAutoRange  ,  []  ,7
org.jfree.chart.axis.NumberAxis  ,  autoAdjustRange  ,  []  ,7
org.jfree.chart.axis.Axis  ,  getPlot  ,  []  ,8
org.jfree.chart.plot.XYPlot  ,  getDataRange  ,  [class org.jfree.chart.axis.ValueAxis]  ,8
org.jfree.chart.plot.XYPlot  ,  getDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,9
org.jfree.chart.plot.XYPlot  ,  findDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,10
org.jfree.chart.plot.XYPlot  ,  getDatasetsMappedToDomainAxis  ,  [class java.lang.Integer]  ,9
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,10
org.jfree.chart.plot.XYPlot  ,  getRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,9
org.jfree.chart.plot.XYPlot  ,  findRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,10
org.jfree.chart.plot.Plot  ,  getParent  ,  []  ,10
org.jfree.chart.plot.XYPlot  ,  getRendererForDataset  ,  [interface org.jfree.data.xy.XYDataset]  ,9
org.jfree.chart.plot.XYPlot  ,  indexOf  ,  [interface org.jfree.data.xy.XYDataset]  ,10
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  []  ,10
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  [int]  ,11
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset]  ,9
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset- boolean]  ,10
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,11
org.jfree.data.xy.XYSeriesCollection  ,  getDomainBounds  ,  [boolean]  ,11
org.jfree.data.xy.IntervalXYDelegate  ,  getDomainBounds  ,  [boolean]  ,12
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset- boolean]  ,13
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,14
org.jfree.data.xy.XYSeriesCollection  ,  getDomainBounds  ,  [boolean]  ,14
org.jfree.data.xy.XYSeriesCollection  ,  getSeriesCount  ,  []  ,15
org.jfree.data.xy.XYSeriesCollection  ,  getSeries  ,  [int]  ,15
org.jfree.data.xy.XYSeriesCollection  ,  getSeriesCount  ,  []  ,16
org.jfree.data.xy.XYSeries  ,  getMinX  ,  []  ,15
org.jfree.data.xy.XYSeries  ,  getMaxX  ,  []  ,15
org.jfree.data.xy.IntervalXYDelegate  ,  getIntervalWidth  ,  []  ,13
org.jfree.data.xy.IntervalXYDelegate  ,  isAutoWidth  ,  []  ,14
org.jfree.data.xy.IntervalXYDelegate  ,  getIntervalPositionFactor  ,  []  ,13
org.jfree.data.xy.IntervalXYDelegate  ,  getIntervalWidth  ,  []  ,13
org.jfree.data.xy.IntervalXYDelegate  ,  isAutoWidth  ,  []  ,14
org.jfree.data.Range  ,  getLowerBound  ,  []  ,13
org.jfree.data.Range  ,  getUpperBound  ,  []  ,13
org.jfree.data.Range  ,  combine  ,  [class org.jfree.data.Range- class org.jfree.data.Range]  ,9
org.jfree.data.Range  ,  getUpperBound  ,  []  ,8
org.jfree.data.Range  ,  getLowerBound  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  getAutoRangeIncludesZero  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getFixedAutoRange  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getAutoRangeMinimumSize  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  getAutoRangeStickyZero  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getUpperMargin  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getLowerMargin  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  setRange  ,  [class org.jfree.data.Range- boolean- boolean]  ,8
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,9
org.jfree.data.Range  ,  getLength  ,  []  ,9
org.jfree.chart.axis.Axis  ,  addChangeListener  ,  [interface org.jfree.chart.event.AxisChangeListener]  ,5
org.jfree.chart.plot.XYPlot  ,  mapDatasetToRangeAxis  ,  [int- int]  ,5
org.jfree.chart.plot.XYPlot  ,  mapDatasetToRangeAxes  ,  [int- interface java.util.List]  ,6
org.jfree.chart.util.Args  ,  requireNonNegative  ,  [int- class java.lang.String]  ,7
org.jfree.chart.plot.XYPlot  ,  checkAxisIndices  ,  [interface java.util.List]  ,7
org.jfree.chart.plot.XYPlot  ,  getDataset  ,  [int]  ,7
org.jfree.chart.plot.XYPlot  ,  datasetChanged  ,  [class org.jfree.data.general.DatasetChangeEvent]  ,7
org.jfree.chart.plot.XYPlot  ,  configureDomainAxes  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  configure  ,  []  ,9
org.jfree.chart.axis.ValueAxis  ,  isAutoRange  ,  []  ,10
org.jfree.chart.axis.NumberAxis  ,  autoAdjustRange  ,  []  ,10
org.jfree.chart.axis.Axis  ,  getPlot  ,  []  ,11
org.jfree.chart.plot.XYPlot  ,  getDataRange  ,  [class org.jfree.chart.axis.ValueAxis]  ,11
org.jfree.chart.plot.XYPlot  ,  getDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,12
org.jfree.chart.plot.XYPlot  ,  findDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,13
org.jfree.chart.plot.XYPlot  ,  getDatasetsMappedToDomainAxis  ,  [class java.lang.Integer]  ,12
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,13
org.jfree.chart.plot.XYPlot  ,  getRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,12
org.jfree.chart.plot.XYPlot  ,  findRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,13
org.jfree.chart.plot.Plot  ,  getParent  ,  []  ,13
org.jfree.chart.plot.XYPlot  ,  getRendererForDataset  ,  [interface org.jfree.data.xy.XYDataset]  ,12
org.jfree.chart.plot.XYPlot  ,  indexOf  ,  [interface org.jfree.data.xy.XYDataset]  ,13
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  []  ,13
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  [int]  ,14
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset]  ,12
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset- boolean]  ,13
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,14
org.jfree.data.xy.XYSeriesCollection  ,  getDomainBounds  ,  [boolean]  ,14
org.jfree.data.xy.IntervalXYDelegate  ,  getDomainBounds  ,  [boolean]  ,15
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset- boolean]  ,16
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,17
org.jfree.data.xy.XYSeriesCollection  ,  getDomainBounds  ,  [boolean]  ,17
org.jfree.data.xy.XYSeriesCollection  ,  getSeriesCount  ,  []  ,18
org.jfree.data.xy.XYSeriesCollection  ,  getSeries  ,  [int]  ,18
org.jfree.data.xy.XYSeriesCollection  ,  getSeriesCount  ,  []  ,19
org.jfree.data.xy.XYSeries  ,  getMinX  ,  []  ,18
org.jfree.data.xy.XYSeries  ,  getMaxX  ,  []  ,18
org.jfree.data.xy.IntervalXYDelegate  ,  getIntervalWidth  ,  []  ,16
org.jfree.data.xy.IntervalXYDelegate  ,  isAutoWidth  ,  []  ,17
org.jfree.data.xy.IntervalXYDelegate  ,  getIntervalPositionFactor  ,  []  ,16
org.jfree.data.xy.IntervalXYDelegate  ,  getIntervalWidth  ,  []  ,16
org.jfree.data.xy.IntervalXYDelegate  ,  isAutoWidth  ,  []  ,17
org.jfree.data.Range  ,  getLowerBound  ,  []  ,16
org.jfree.data.Range  ,  getUpperBound  ,  []  ,16
org.jfree.data.Range  ,  combine  ,  [class org.jfree.data.Range- class org.jfree.data.Range]  ,12
org.jfree.data.Range  ,  getUpperBound  ,  []  ,11
org.jfree.data.Range  ,  getLowerBound  ,  []  ,11
org.jfree.chart.axis.NumberAxis  ,  getAutoRangeIncludesZero  ,  []  ,11
org.jfree.chart.axis.ValueAxis  ,  getFixedAutoRange  ,  []  ,11
org.jfree.chart.axis.ValueAxis  ,  getAutoRangeMinimumSize  ,  []  ,11
org.jfree.chart.axis.NumberAxis  ,  getAutoRangeStickyZero  ,  []  ,11
org.jfree.chart.axis.ValueAxis  ,  getUpperMargin  ,  []  ,11
org.jfree.chart.axis.ValueAxis  ,  getLowerMargin  ,  []  ,11
org.jfree.chart.axis.ValueAxis  ,  setRange  ,  [class org.jfree.data.Range- boolean- boolean]  ,11
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,12
org.jfree.data.Range  ,  getLength  ,  []  ,12
org.jfree.chart.plot.XYPlot  ,  configureRangeAxes  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  configure  ,  []  ,9
org.jfree.chart.axis.ValueAxis  ,  isAutoRange  ,  []  ,10
org.jfree.chart.axis.NumberAxis  ,  autoAdjustRange  ,  []  ,10
org.jfree.chart.axis.Axis  ,  getPlot  ,  []  ,11
org.jfree.chart.plot.Plot  ,  getParent  ,  []  ,8
org.jfree.chart.event.ChartChangeEvent  ,  setType  ,  [class org.jfree.chart.event.ChartChangeEventType]  ,8
org.jfree.chart.plot.Plot  ,  notifyListeners  ,  [class org.jfree.chart.event.PlotChangeEvent]  ,8
org.jfree.chart.axis.Axis  ,  setPlot  ,  [class org.jfree.chart.plot.Plot]  ,5
org.jfree.chart.axis.NumberAxis  ,  configure  ,  []  ,6
org.jfree.chart.axis.ValueAxis  ,  isAutoRange  ,  []  ,7
org.jfree.chart.axis.NumberAxis  ,  autoAdjustRange  ,  []  ,7
org.jfree.chart.axis.Axis  ,  getPlot  ,  []  ,8
org.jfree.chart.plot.XYPlot  ,  getDataRange  ,  [class org.jfree.chart.axis.ValueAxis]  ,8
org.jfree.chart.plot.XYPlot  ,  getDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,9
org.jfree.chart.plot.XYPlot  ,  findDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,10
org.jfree.chart.plot.Plot  ,  getParent  ,  []  ,10
org.jfree.chart.plot.XYPlot  ,  getRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,9
org.jfree.chart.plot.XYPlot  ,  findRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,10
org.jfree.chart.plot.XYPlot  ,  getDatasetsMappedToRangeAxis  ,  [class java.lang.Integer]  ,9
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,10
org.jfree.chart.plot.XYPlot  ,  getRendererForDataset  ,  [interface org.jfree.data.xy.XYDataset]  ,9
org.jfree.chart.plot.XYPlot  ,  indexOf  ,  [interface org.jfree.data.xy.XYDataset]  ,10
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  []  ,10
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  [int]  ,11
org.jfree.data.general.DatasetUtils  ,  findRangeBounds  ,  [interface org.jfree.data.xy.XYDataset]  ,9
org.jfree.data.general.DatasetUtils  ,  findRangeBounds  ,  [interface org.jfree.data.xy.XYDataset- boolean]  ,10
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,11
org.jfree.data.xy.XYSeriesCollection  ,  getRangeBounds  ,  [boolean]  ,11
org.jfree.data.xy.XYSeriesCollection  ,  getSeriesCount  ,  []  ,12
org.jfree.data.xy.XYSeriesCollection  ,  getSeries  ,  [int]  ,12
org.jfree.data.xy.XYSeriesCollection  ,  getSeriesCount  ,  []  ,13
org.jfree.data.xy.XYSeries  ,  getMinY  ,  []  ,12
org.jfree.data.xy.XYSeries  ,  getMaxY  ,  []  ,12
org.jfree.data.Range  ,  combine  ,  [class org.jfree.data.Range- class org.jfree.data.Range]  ,9
org.jfree.data.Range  ,  getUpperBound  ,  []  ,8
org.jfree.data.Range  ,  getLowerBound  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  getAutoRangeIncludesZero  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getFixedAutoRange  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getAutoRangeMinimumSize  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  getAutoRangeStickyZero  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getUpperMargin  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getLowerMargin  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  setRange  ,  [class org.jfree.data.Range- boolean- boolean]  ,8
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,9
org.jfree.data.Range  ,  getLength  ,  []  ,9
org.jfree.chart.axis.Axis  ,  addChangeListener  ,  [interface org.jfree.chart.event.AxisChangeListener]  ,5
org.jfree.chart.plot.XYPlot  ,  configureDomainAxes  ,  []  ,5
org.jfree.chart.axis.NumberAxis  ,  configure  ,  []  ,6
org.jfree.chart.axis.ValueAxis  ,  isAutoRange  ,  []  ,7
org.jfree.chart.axis.NumberAxis  ,  autoAdjustRange  ,  []  ,7
org.jfree.chart.axis.Axis  ,  getPlot  ,  []  ,8
org.jfree.chart.plot.XYPlot  ,  getDataRange  ,  [class org.jfree.chart.axis.ValueAxis]  ,8
org.jfree.chart.plot.XYPlot  ,  getDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,9
org.jfree.chart.plot.XYPlot  ,  findDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,10
org.jfree.chart.plot.XYPlot  ,  getDatasetsMappedToDomainAxis  ,  [class java.lang.Integer]  ,9
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,10
org.jfree.chart.plot.XYPlot  ,  getRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,9
org.jfree.chart.plot.XYPlot  ,  findRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,10
org.jfree.chart.plot.Plot  ,  getParent  ,  []  ,10
org.jfree.chart.plot.XYPlot  ,  getRendererForDataset  ,  [interface org.jfree.data.xy.XYDataset]  ,9
org.jfree.chart.plot.XYPlot  ,  indexOf  ,  [interface org.jfree.data.xy.XYDataset]  ,10
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  []  ,10
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  [int]  ,11
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset]  ,9
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset- boolean]  ,10
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,11
org.jfree.data.xy.XYSeriesCollection  ,  getDomainBounds  ,  [boolean]  ,11
org.jfree.data.xy.IntervalXYDelegate  ,  getDomainBounds  ,  [boolean]  ,12
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset- boolean]  ,13
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,14
org.jfree.data.xy.XYSeriesCollection  ,  getDomainBounds  ,  [boolean]  ,14
org.jfree.data.xy.XYSeriesCollection  ,  getSeriesCount  ,  []  ,15
org.jfree.data.xy.XYSeriesCollection  ,  getSeries  ,  [int]  ,15
org.jfree.data.xy.XYSeriesCollection  ,  getSeriesCount  ,  []  ,16
org.jfree.data.xy.XYSeries  ,  getMinX  ,  []  ,15
org.jfree.data.xy.XYSeries  ,  getMaxX  ,  []  ,15
org.jfree.data.xy.IntervalXYDelegate  ,  getIntervalWidth  ,  []  ,13
org.jfree.data.xy.IntervalXYDelegate  ,  isAutoWidth  ,  []  ,14
org.jfree.data.xy.IntervalXYDelegate  ,  getIntervalPositionFactor  ,  []  ,13
org.jfree.data.xy.IntervalXYDelegate  ,  getIntervalWidth  ,  []  ,13
org.jfree.data.xy.IntervalXYDelegate  ,  isAutoWidth  ,  []  ,14
org.jfree.data.Range  ,  getLowerBound  ,  []  ,13
org.jfree.data.Range  ,  getUpperBound  ,  []  ,13
org.jfree.data.Range  ,  combine  ,  [class org.jfree.data.Range- class org.jfree.data.Range]  ,9
org.jfree.data.Range  ,  getUpperBound  ,  []  ,8
org.jfree.data.Range  ,  getLowerBound  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  getAutoRangeIncludesZero  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getFixedAutoRange  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getAutoRangeMinimumSize  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  getAutoRangeStickyZero  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getUpperMargin  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getLowerMargin  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  setRange  ,  [class org.jfree.data.Range- boolean- boolean]  ,8
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,9
org.jfree.data.Range  ,  getLength  ,  []  ,9
org.jfree.chart.plot.XYPlot  ,  configureRangeAxes  ,  []  ,5
org.jfree.chart.axis.NumberAxis  ,  configure  ,  []  ,6
org.jfree.chart.axis.ValueAxis  ,  isAutoRange  ,  []  ,7
org.jfree.chart.axis.NumberAxis  ,  autoAdjustRange  ,  []  ,7
org.jfree.chart.axis.Axis  ,  getPlot  ,  []  ,8
org.jfree.chart.plot.XYPlot  ,  getDataRange  ,  [class org.jfree.chart.axis.ValueAxis]  ,8
org.jfree.chart.plot.XYPlot  ,  getDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,9
org.jfree.chart.plot.XYPlot  ,  findDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,10
org.jfree.chart.plot.Plot  ,  getParent  ,  []  ,10
org.jfree.chart.plot.XYPlot  ,  getRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,9
org.jfree.chart.plot.XYPlot  ,  findRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,10
org.jfree.chart.plot.XYPlot  ,  getDatasetsMappedToRangeAxis  ,  [class java.lang.Integer]  ,9
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,10
org.jfree.chart.plot.XYPlot  ,  getRendererForDataset  ,  [interface org.jfree.data.xy.XYDataset]  ,9
org.jfree.chart.plot.XYPlot  ,  indexOf  ,  [interface org.jfree.data.xy.XYDataset]  ,10
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  []  ,10
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  [int]  ,11
org.jfree.data.general.DatasetUtils  ,  findRangeBounds  ,  [interface org.jfree.data.xy.XYDataset]  ,9
org.jfree.data.general.DatasetUtils  ,  findRangeBounds  ,  [interface org.jfree.data.xy.XYDataset- boolean]  ,10
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,11
org.jfree.data.xy.XYSeriesCollection  ,  getRangeBounds  ,  [boolean]  ,11
org.jfree.data.xy.XYSeriesCollection  ,  getSeriesCount  ,  []  ,12
org.jfree.data.xy.XYSeriesCollection  ,  getSeries  ,  [int]  ,12
org.jfree.data.xy.XYSeriesCollection  ,  getSeriesCount  ,  []  ,13
org.jfree.data.xy.XYSeries  ,  getMinY  ,  []  ,12
org.jfree.data.xy.XYSeries  ,  getMaxY  ,  []  ,12
org.jfree.data.Range  ,  combine  ,  [class org.jfree.data.Range- class org.jfree.data.Range]  ,9
org.jfree.data.Range  ,  getUpperBound  ,  []  ,8
org.jfree.data.Range  ,  getLowerBound  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  getAutoRangeIncludesZero  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getFixedAutoRange  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getAutoRangeMinimumSize  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  getAutoRangeStickyZero  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getUpperMargin  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getLowerMargin  ,  []  ,8
